Date,Close,High,Low,Open,Volume,RSI_5,RSI_10,RSI_15,ROC_10,MOM_10,CCI_20,WR_14,MACD,MACD_SIGNAL,MACD_HIST,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,VWMA_20,NVI,NVI_SIGNAL,OBV,CMF_20,MFI_14,sub_rsi,sub_momentum,sub_cci,sub_williams_r,sub_macd,sub_ma_stack,sub_vwma,sub_nvi,technical_composite,technical_score,vix_level,vix_score,dxy_score,macro_composite,macro_score,macro_multiplier,final_score,decision,initial_score,gated_score,combined_final_score,direction,forward_return
2019-10-16,8047.52685546875,8216.8125,7985.08984375,8204.6748046875,16071646996,26.82145887142265,33.08436147980851,34.06861603945343,0.7432390594399818,59.37109375,-107.42254803678075,-82.62766149053643,-301.8451381207451,-357.24586323506674,55.40072511432163,8257.02880859375,8326.352099609376,8275.062084960937,8221.595027155625,8285.794946514154,8473.694545405002,8285.453708510271,434.8957925478181,571.9379280430559,546298970200.0,0.07691291465268404,39.18297609360787,0.9337593934885902,0.041588520756261634,1.0,1.0,0.41512699445423445,-1.0,-0.9572070981747137,-1.0,0.31640611111111105,65.82030555555556,13.680000305175781,1.0,0.29918678855024305,0.7547153759925851,87.73576879962926,1.15,75.69335138888889,STRONG_BUY,28.235294117647058,28.235294117647058,47.218517026143786,WATCH,0.02437939645059095
2019-10-17,8103.9111328125,8134.83154296875,8000.94287109375,8047.8125,14313052244,34.395016803190074,36.10665863029264,35.8754243247202,-1.7186319730709387,-141.7119140625,-103.0792881774077,-75.71794348601631,-296.1975107578419,-345.0361927396218,48.83868198177993,8210.49990234375,8312.180908203125,8267.665356445312,8182.367062374584,8252.725162204762,8438.47707753905,8278.724710982448,437.9428510321253,571.2209404959352,560612022444.0,0.055766341145205844,39.12740342293767,0.7270483373632846,-0.09890122658563653,1.0,0.8572647828672103,0.36797789361835104,-1.0,-0.7038667760749918,-1.0,0.14881625,57.44081250000001,13.789999961853027,1.0,0.3358074973341396,0.7675326240669489,88.37663120334744,1.15,66.056934375,BUY,25.294117647058826,25.294117647058826,41.599244338235295,WATCH,-0.0031722963629757794
2019-10-18,7973.20751953125,8138.41357421875,7902.1640625,8100.93359375,15651592610,26.460031178977005,32.34403484028999,33.589232042036656,-3.1058745538063426,-255.57568359375,-128.15828992362225,-91.33210689549583,-298.8237603420166,-335.79370626010075,36.969945918084136,8140.940234375,8286.62333984375,8254.02998046875,8112.64721476014,8201.90377262776,8394.165691062117,8264.60064836346,437.9428510321253,570.498883513586,544960429834.0,0.011757661455134866,38.752168101460946,0.9601116989782724,-0.17905705624940138,1.0,1.0,0.27853897658701016,-1.0,-1.0,-1.0,0.15404999999999994,57.7025,14.25,1.0,0.6243037916254468,0.8685063270689064,93.42531635344533,1.15,66.35787499999999,BUY,47.64705882352941,47.64705882352941,55.13138529411765,WATCH,-0.05750955853187267
2019-10-19,7988.560546875,8082.62939453125,7944.77685546875,7973.8037109375,13797825640,28.869508648622997,33.251869013908305,34.11762208708939,-7.063727741234471,-607.1796875,-119.06827488665093,-89.4589097650744,-296.25122139231644,-327.8852092865439,31.63398789422746,8063.7150390625,8225.90537109375,8248.24873046875,8071.28499213176,8163.114095218167,8355.536629710963,8258.995580423529,438.78614384125206,569.7801335618608,558758255474.0,0.002179604692810274,44.54634873878151,0.8960166708396553,-0.4150721528676319,1.0,1.0,0.23797551792818813,-1.0,-1.0,-1.0,0.10944694444444443,55.47234722222222,14.25,1.0,0.6243037916254468,0.8685063270689064,93.42531635344533,1.15,63.79319930555555,BUY,68.45588235294117,68.45588235294117,66.59080913398692,BUY,-0.06197258873345013
2019-10-20,8222.078125,8281.818359375,7949.439453125,7997.80712890625,15504249442,56.171394578844286,45.590297058788856,41.6794457389749,-4.243831908130391,-364.3955078125,-46.62458169752741,-60.967821496103234,-272.23143425773924,-316.75445428078297,44.52302002304373,8067.0568359375,8189.4658203125,8244.659228515626,8121.549369754507,8173.834827905772,8342.826295928966,8255.160273937503,438.78614384125206,569.0715996396598,574262504916.0,-0.016646207046489225,50.87122448217245,0.10931437705653302,-0.2520032781921523,0.4662458169752741,0.3655940498701078,0.33493451498340776,0.33333333333333326,-0.1335816945187896,-1.0,0.03560777777777778,51.780388888888886,14.25,1.0,0.6243037916254468,0.8685063270689064,93.42531635344533,1.15,59.54744722222222,WATCH,40.588235294117645,40.588235294117645,48.17192006535947,WATCH,0.0533468623922253
2019-10-21,8243.720703125,8296.6943359375,8196.416015625,8225.115234375,15868748866,58.03734140635753,46.606673543546165,42.33666409079694,-0.9377362779395493,-78.0361328125,3.499324470011542,-58.32724681783466,-248.5836867177386,-303.1203007681741,54.5366140504355,8106.29560546875,8181.66220703125,8239.6814453125,8162.273147544673,8186.541350672904,8333.387668042873,8250.1502781257,438.78614384125206,568.3630657174587,590131253782.0,-0.011266841487186435,50.4435416260276,0.050322015988322755,-0.05531789286748322,-0.034993244700115334,0.2775748939278221,0.41060307185242556,0.6666666666666667,-0.02597760761500989,-1.0,0.09350402777777778,54.67520138888888,14.0,1.0,0.6440145348479587,0.8754050871967856,93.77025435983927,1.15,62.87648159722221,BUY,21.764705882352942,21.764705882352942,38.20941616830065,SELL,0.12145631677519697
2019-10-22,8078.203125,8296.6513671875,8074.462890625,8243.40234375,16803377857,41.24920919296088,40.222052792571404,38.757797714821145,-3.099032135972113,-258.3525390625,-41.51861229650298,-78.5217690730346,-240.42706810557138,-290.58165423565356,50.15458613008218,8101.15400390625,8155.826953125,8223.939501953126,8134.249806696449,8166.843491459647,8309.084378229267,8234.735185699867,438.78614384125206,567.6516013061118,573327875925.0,-0.10612825881212123,43.24555235704339,0.4961823383274424,-0.18296993852414112,0.41518612296502977,0.9507256357678202,0.3774640130596252,-1.0,-0.6336251547861729,-1.0,0.024382222222222253,51.21911111111112,14.460000038146973,1.0,0.41183525968958024,0.794142340891353,89.70711704456765,1.15,58.90197777777778,WATCH,28.235294117647058,28.235294117647058,40.50196758169935,WATCH,0.18240587615206816
2019-10-23,7514.671875,8092.99951171875,7469.32275390625,8076.228515625,21942878958,18.488625605586833,26.492813969424745,29.623063384319124,-9.69034270618293,-806.333984375,-225.45436476144707,-96.37918888372977,-276.250705168909,-287.71546442230465,11.464759253395641,8009.446875,8075.1935546875,8186.673486328125,7927.7238294643,8048.266833921529,8233.426044588385,8183.863503401434,438.78614384125206,566.940136894765,551384996967.0,-0.15590279261281173,34.26599144105613,1.0,-0.5712287805309498,1.0,1.0,0.08665972697662604,-1.0,-1.0,-1.0,0.09200027777777779,54.60001388888889,14.010000228881836,1.0,0.7926088854559366,0.9274131099095778,96.3706554954789,1.15,62.790015972222214,BUY,0.0,0.0,25.116006388888888,SELL,0.23174352672584253
2019-10-24,7493.48876953125,7532.86767578125,7446.98876953125,7509.72802734375,16268708849,18.021388156256933,26.120429418457377,29.344516290290073,-10.522158070515463,-881.19775390625,-246.91382863183867,-96.35234468871863,-302.8593214790744,-290.74423583365865,-12.115085645415775,7910.43251953125,7987.073779296875,8151.050952148437,7782.978809486617,7947.398094941478,8162.9558279162775,8147.915449634204,437.54924976020277,566.251344233515,535116288118.0,-0.1503925868266383,26.527760123757673,1.0,-0.6194120870200909,1.0,1.0,-0.09203747212268253,-1.0,-1.0,-1.0,0.05550111111111113,52.77505555555556,13.710000038146973,1.0,0.7962916266682885,0.928702069333901,96.43510346669505,1.15,60.69131388888889,BUY,0.0,0.0,24.27652555555556,STRONG_SELL,0.2581172521847581
2019-10-25,8660.7001953125,8691.5400390625,7479.984375,7490.703125,28705065488,70.08752168382074,60.291747555364424,54.56607960188583,5.549184282680764,455.3310546875,37.93941569136804,-2.4779890153995483,-227.14425674261747,-278.02424001545046,50.87998327283299,7998.15693359375,8032.606884765625,8176.5109375,8075.552604761911,8077.089385918027,8210.360053382585,8191.462377430443,437.54924976020277,565.562551572265,563821353606.0,-0.06628795904352185,38.07294666570659,-0.5824224806845166,0.32071967074634533,-0.3793941569136803,-1.0,0.38568082975974166,1.0,1.0,-1.0,0.0842711111111111,54.21355555555556,12.649999618530273,1.0,0.6457465298225329,0.8760112854378865,93.80056427189433,1.15,62.34558888888889,BUY,0.0,0.0,24.938235555555558,STRONG_SELL,0.06293098189479984
