Date,Close,High,Low,Open,Volume,RSI_5,RSI_10,RSI_15,ROC_10,MOM_10,CCI_20,WR_14,MACD,MACD_SIGNAL,MACD_HIST,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,VWMA_20,NVI,NVI_SIGNAL,OBV,CMF_20,MFI_14,sub_rsi,sub_momentum,sub_cci,sub_williams_r,sub_macd,sub_ma_stack,sub_vwma,sub_nvi,technical_composite,technical_score,vix_level,vix_score,dxy_score,macro_composite,macro_score,macro_multiplier,final_score,decision,initial_score,gated_score,combined_final_score,direction,forward_return
2019-10-16,176.0135040283203,181.66860961914062,174.0641632080078,181.34373474121094,7691244590,34.70492101324642,42.62568981426322,44.579615786558016,1.7071394839742293,2.9543609619140625,-32.18912452913719,-80.37501802604771,-1.2238230605627791,-1.4231440642429156,0.1993210036801365,181.45645446777343,183.80127868652343,179.86591491699218,180.9476178018657,181.79125659164447,182.48859577640982,180.32959531740585,221.0279110731966,339.8498684535152,92226975814.0,0.12004774228865955,51.98465616985339,0.468162889765539,0.07265497429023841,0.3218912452913719,1.0,0.060038697083934695,-1.0,-0.7978152969453142,-1.0,0.04708291666666669,52.354145833333334,13.680000305175781,1.0,0.29918678855024305,0.7547153759925851,87.73576879962926,1.15,60.207267708333326,BUY,36.470588235294116,36.470588235294116,45.9652600245098,WATCH,-0.00620698987908419
2019-10-17,178.02835083007812,178.89955139160156,174.56582641601562,175.90689086914062,6737237423,41.06207997966699,45.17711210986087,46.148500346531954,-1.7429512049120133,-3.157989501953125,-39.77706140244416,-71.98647363495967,-1.4419544075386739,-1.4269061329020674,-0.015048274636606518,180.89679565429688,183.48547973632813,180.0317825317383,179.97452881126986,181.10709190772332,182.06381054342586,180.5293622497901,223.55804296383485,338.9947569722801,98964213237.0,0.10215003051099855,51.79374900237794,0.29353845939900336,-0.07653615885076215,0.3977706140244416,0.7328824544986555,-0.004563208021453843,-1.0,-0.46179217765352365,-1.0,-0.04596666666666664,47.70166666666667,13.789999961853027,1.0,0.3358074973341396,0.7675326240669489,88.37663120334744,1.15,54.85691666666666,WATCH,21.764705882352942,21.764705882352942,35.00159019607843,SELL,-0.03217180443130374
2019-10-18,173.621337890625,178.17979431152344,171.0050506591797,177.98855590820312,7566257807,32.42958523726354,40.77081252270471,43.27740145478915,-4.614960308794602,-8.400222778320312,-84.65314364703418,-89.23947519370212,-1.947979094413057,-1.5311207252042653,-0.4168583692087917,179.2060333251953,182.64545745849608,179.98420486450195,177.85679850438825,179.74604572279634,181.2597655288734,180.4524255089877,223.55804296383485,338.1396454910448,91397955430.0,0.06305212169028716,45.42318841308217,0.55870334642071,-0.20303099902298888,0.8465314364703418,1.0,-0.1263623775779397,-1.0,-1.0,-1.0,0.015618750000000011,50.7809375,14.25,1.0,0.6243037916254468,0.8685063270689064,93.42531635344533,1.15,58.398078125,WATCH,48.8235294117647,48.8235294117647,52.65334889705882,WATCH,-0.06461505119151578
2019-10-19,172.91302490234375,175.6082305908203,172.2154541015625,173.64944458007812,6551453871,31.115385265503562,40.072830959929576,42.81866026479443,-10.543685747344,-20.380233764648438,-99.68054496397366,-92.15269488510918,-2.3787415906656975,-1.7006448982965519,-0.6780966923691456,176.39645690917968,180.60743408203126,180.10468215942382,176.20887397037342,178.50367830089584,180.46483785015627,180.55715272766614,222.64600607142376,337.2809573945452,84846501559.0,0.04305652110177354,45.15893887549264,0.5998853918295406,-0.47537882226147765,0.9968054496397366,1.0,-0.205061346293703,-1.0,-1.0,-1.0,-0.012586111111111051,49.370694444444446,14.25,1.0,0.6243037916254468,0.8685063270689064,93.42531635344533,1.15,56.77629861111111,WATCH,64.76470588235294,64.76470588235294,61.56934297385621,BUY,-0.06213803919298466
2019-10-20,175.5343780517578,176.71868896484375,171.21072387695312,172.97476196289062,6801091120,41.99040878806309,44.01405747965856,45.12510887880936,-8.413501957867009,-16.125289916992188,-83.70719047105095,-81.37133447050569,-2.480014616087942,-1.85651884185483,-0.6234957742331122,175.222119140625,178.99490509033203,179.88779067993164,175.98404199750155,177.96380552832528,179.9952702503088,180.3569913620879,222.64600607142376,336.42860743810303,91647592679.0,0.017892802758174536,50.900663752753935,0.31450708089114987,-0.38093416958112397,0.8370719047105095,1.0,-0.18825439796703436,-0.6666666666666667,-0.8913088192310279,-1.0,0.025121250000000022,51.2560625,14.25,1.0,0.6243037916254468,0.8685063270689064,93.42531635344533,1.15,58.94447187499999,WATCH,51.76470588235294,51.76470588235294,54.636612279411764,WATCH,0.0341177074990997
2019-10-21,174.92098999023438,177.74172973632812,173.28775024414062,175.52474975585938,6815820627,40.13699404189068,43.274106381486526,44.67334558210888,-4.189467063082164,-7.6486968994140625,-65.21734209565254,-83.89413753760765,-2.580028545573498,-2.0012207825985637,-0.5788077629749342,175.0036163330078,178.23003540039062,179.76681900024414,175.6296913284125,177.41056633958146,179.51200546363506,180.260471378226,222.64600607142376,335.5762574816608,84831772052.0,0.04105286522798785,50.376829749205946,0.3652592332418987,-0.18610003337552392,0.6521734209565254,1.0,-0.17444189584730826,-1.0,-0.9873640714031363,-1.0,-0.017762499999999973,49.111875,14.0,1.0,0.6440145348479587,0.8754050871967856,93.77025435983927,1.15,56.47865624999999,WATCH,65.6764705882353,65.6764705882353,61.99734485294118,BUY,0.028095483260002885
2019-10-22,172.3008575439453,175.6500244140625,172.2662353515625,174.90505981445312,6990951966,32.48173816099397,40.07635125411225,42.71614264461195,-4.71489550577584,-8.525787353515625,-85.36695027073628,-94.67047732370378,-2.8379984171470483,-2.1685763095082606,-0.6694221076387876,173.85811767578124,177.37745666503906,179.3463363647461,174.52008006692344,176.4815283767385,178.82522947128365,179.85596772936142,222.64600607142376,334.72154735405076,77840820086.0,-0.048452381323855084,43.61341239020643,0.5787627990046971,-0.20880687363286776,0.8536695027073629,1.0,-0.2012359915282151,-1.0,-1.0,-1.0,-0.001054444444444433,49.94727777777778,14.460000038146973,1.0,0.41183525968958024,0.794142340891353,89.70711704456765,1.15,57.43936944444444,WATCH,55.29411764705882,55.29411764705882,56.15221836601307,WATCH,0.06930528752932741
2019-10-23,162.4027862548828,172.4205780029297,157.4634246826172,172.26280212402344,9624925919,17.08987676208062,30.588629535806092,36.28227091380424,-10.804529520568106,-19.67236328125,-189.61752590439826,-86.95202125043835,-3.797359434548497,-2.494332934516308,-1.303026500032189,171.61440734863282,175.41022033691405,178.7065086364746,170.48098212957657,173.92175708185565,177.26118726019786,178.9208068654053,222.64600607142376,333.86683722644057,68215894167.0,-0.053698383229117255,34.80893787528218,1.0,-0.47747275281422846,1.0,1.0,-0.3894842977782454,-1.0,-1.0,-1.0,0.02231750000000004,51.115875,14.010000228881836,1.0,0.7926088854559366,0.9274131099095778,96.3706554954789,1.15,58.78325625,WATCH,4.117647058823531,4.117647058823531,25.98389073529412,SELL,0.12475170833964011
2019-10-24,162.16854858398438,164.14756774902344,160.88795471191406,162.5141143798828,7300917537,16.85363233365088,30.39939415161318,36.144236044924,-13.260717868023864,-24.7923583984375,-181.91070523671178,-87.57079112737767,-4.524406434070869,-2.90034763442722,-1.6240587996436489,169.46551208496095,172.9309844970703,177.96568603515624,167.71017094771253,171.78481008224267,175.82379310055848,178.18068772695307,222.32487807171591,333.0108677733415,60914976630.0,-0.0794210419289957,26.903030395694046,1.0,-0.5879483819871741,1.0,1.0,-0.48179466658397535,-1.0,-1.0,-1.0,-0.0002838888888888993,49.98580555555556,13.710000038146973,1.0,0.7962916266682885,0.928702069333901,96.43510346669505,1.15,57.48367638888889,WATCH,2.941176470588233,2.941176470588233,24.758176437908496,STRONG_SELL,0.1737329879021945
2019-10-25,181.52320861816406,183.0001220703125,161.9660186767578,162.18971252441406,10358594018,65.75210742640165,55.61112868656458,52.23276891662909,0.06457431421018622,0.1171417236328125,-30.02049150160044,-20.585462259532573,-3.4985084801544417,-3.0199798035726646,-0.4785286765817771,170.66327819824218,172.94269866943358,178.22427062988282,172.31451683786304,173.5554279978647,176.3665945784257,178.47594332234286,222.32487807171591,332.1367523532132,71273570648.0,-0.03478014135011663,36.53722947078396,-0.3932667504932552,0.0028226802456374884,0.30020491501600444,-0.9804845913489142,-0.14175495266012486,1.0,0.5691271774216246,-1.0,-0.05537833333333334,47.23108333333334,12.649999618530273,1.0,0.6457465298225329,0.8760112854378865,93.80056427189433,1.15,54.31574583333333,WATCH,0.0,0.0,21.726298333333332,STRONG_SELL,0.017457605533819143
