open_time,Open,High,Low,Close,Volume
2019-09-23 08:00:00,209.55,209.55,209.55,209.55,0.01
2019-09-23 13:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 14:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 15:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 16:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 17:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 18:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 19:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 20:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 21:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 22:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-23 23:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 00:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 01:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 02:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 03:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 04:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 05:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 06:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 07:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 08:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 09:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 10:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 11:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 12:00:00,209.55,209.55,209.55,209.55,0.0
2019-09-24 13:00:00,195.5,195.5,195.5,195.5,2.0
2019-09-24 14:00:00,195.5,195.5,190.81,191.06,76.64766
2019-09-24 15:00:00,190.49,192.59,187.52,192.59,103.28823
2019-09-24 16:00:00,192.8,193.69,189.14,189.72,14.60915
2019-09-24 17:00:00,188.2,189.74,188.2,188.88,23.31221
2019-09-24 18:00:00,188.01,188.15,164.7,165.57,247.42257
2019-09-24 19:00:00,165.04,172.21,152.56,165.06,1174.9186
2019-09-24 20:00:00,165.22,167.56,160.83,164.91,414.292
2019-09-24 21:00:00,164.04,169.7,162.59,167.51,129.96333
2019-09-24 22:00:00,167.54,169.57,167.19,168.95,34.4468
2019-09-24 23:00:00,170.67,170.67,167.09,167.09,3.46653
2019-09-25 00:00:00,166.84,168.9,166.82,168.9,2.6929
2019-09-25 01:00:00,169.11,172.79,169.08,172.79,9.26086
2019-09-25 02:00:00,174.15,174.15,172.17,172.17,5.73958
2019-09-25 03:00:00,171.31,171.85,169.75,169.75,3.52
2019-09-25 04:00:00,169.2,169.2,167.93,167.93,5.36373
2019-09-25 05:00:00,167.87,168.77,167.87,168.77,3.36449
2019-09-25 06:00:00,168.92,169.62,168.5,168.5,9.0
2019-09-25 07:00:00,167.44,167.44,167.34,167.34,2.0
2019-09-25 08:00:00,164.13,164.13,163.18,163.99,7.37132
2019-09-25 09:00:00,164.97,166.0,164.97,166.0,0.94768
2019-09-25 10:00:00,167.41,167.92,167.41,167.92,0.75314
2019-09-25 11:00:00,168.31,168.31,166.73,166.73,2.23888
2019-09-25 12:00:00,165.93,166.92,165.72,166.92,41.35238
2019-09-25 13:00:00,166.11,167.82,166.11,167.78,3.31654
2019-09-25 14:00:00,168.24,168.45,167.17,167.17,10.45431
2019-09-25 15:00:00,167.85,167.85,166.85,166.85,0.79586
2019-09-25 16:00:00,168.45,168.45,168.45,168.45,0.90685
2019-09-25 17:00:00,168.45,170.19,168.45,168.8,9.18853
2019-09-25 18:00:00,168.34,168.63,166.36,167.14,43.57185
2019-09-25 19:00:00,167.52,167.97,167.14,167.97,2.20703
2019-09-25 20:00:00,169.65,170.29,169.65,169.78,5.53581
2019-09-25 21:00:00,169.83,170.68,169.58,170.65,5.90554
2019-09-25 22:00:00,170.56,170.56,169.66,169.66,2.65184
2019-09-25 23:00:00,169.66,170.0,168.8,170.0,3.46374
2019-09-26 00:00:00,169.95,170.25,169.3,169.83,57.53274
2019-09-26 01:00:00,168.83,168.95,167.91,167.91,25.12137
2019-09-26 02:00:00,168.02,168.36,167.28,167.95,19.21493
2019-09-26 03:00:00,168.16,168.75,167.97,168.51,46.00875
2019-09-26 04:00:00,167.96,168.71,167.96,168.59,55.91072
2019-09-26 05:00:00,168.83,169.8,168.83,169.16,9.4418
2019-09-26 06:00:00,169.09,169.95,169.09,169.46,13.11471
2019-09-26 07:00:00,169.58,169.69,169.11,169.25,14.45573
2019-09-26 08:00:00,169.86,170.52,169.86,170.17,5.51357
2019-09-26 09:00:00,170.77,170.77,169.96,170.05,7.45514
