symbol,timestamp,observed_utc,n_options,call_oi,put_oi,put_call_oi_ratio,oi_weighted_mark_iv,underlying_price,historical_volatility
BTC-HISTVOL,2026-08-16T05:00:00Z,,,,,,,,20.87636523193412
ETH-HISTVOL,2026-08-16T05:00:00Z,,,,,,,,28.25305873010978
SOL-HISTVOL,2026-08-16T05:00:00Z,,,,,,,,31.09296562199325
BTC-HISTVOL,2026-08-16T06:00:00Z,,,,,,,,20.864263411374647
ETH-HISTVOL,2026-08-16T06:00:00Z,,,,,,,,28.255121986183784
SOL-HISTVOL,2026-08-16T06:00:00Z,,,,,,,,31.091511136854862
BTC-HISTVOL,2026-08-16T07:00:00Z,,,,,,,,20.856890204651293
ETH-HISTVOL,2026-08-16T07:00:00Z,,,,,,,,28.252348012247246
SOL-HISTVOL,2026-08-16T07:00:00Z,,,,,,,,31.063620283580327
BTC-HISTVOL,2026-08-16T08:00:00Z,,,,,,,,20.852957013486687
ETH-HISTVOL,2026-08-16T08:00:00Z,,,,,,,,28.240545108072688
SOL-HISTVOL,2026-08-16T08:00:00Z,,,,,,,,31.062110901380358
BTC-HISTVOL,2026-08-16T09:00:00Z,,,,,,,,20.851784664361308
ETH-HISTVOL,2026-08-16T09:00:00Z,,,,,,,,28.239949667151105
SOL-HISTVOL,2026-08-16T09:00:00Z,,,,,,,,31.06767688660707
BTC-HISTVOL,2026-08-16T10:00:00Z,,,,,,,,20.842469811570123
ETH-HISTVOL,2026-08-16T10:00:00Z,,,,,,,,28.240325231942453
SOL-HISTVOL,2026-08-16T10:00:00Z,,,,,,,,31.06373780515487
BTC-HISTVOL,2026-08-16T11:00:00Z,,,,,,,,20.844978022723847
ETH-HISTVOL,2026-08-16T11:00:00Z,,,,,,,,28.23791821609916
SOL-HISTVOL,2026-08-16T11:00:00Z,,,,,,,,31.04993937878894
BTC-HISTVOL,2026-08-16T12:00:00Z,,,,,,,,20.84557509614333
ETH-HISTVOL,2026-08-16T12:00:00Z,,,,,,,,28.2379004357378
SOL-HISTVOL,2026-08-16T12:00:00Z,,,,,,,,31.052077671887456
BTC-HISTVOL,2026-08-16T13:00:00Z,,,,,,,,20.844950235284028
ETH-HISTVOL,2026-08-16T13:00:00Z,,,,,,,,28.237792378415836
SOL-HISTVOL,2026-08-16T13:00:00Z,,,,,,,,31.049596494612068
BTC-HISTVOL,2026-08-16T14:00:00Z,,,,,,,,20.844210913879454
ETH-HISTVOL,2026-08-16T14:00:00Z,,,,,,,,28.2337122653421
SOL-HISTVOL,2026-08-16T14:00:00Z,,,,,,,,31.05148957777574
BTC-HISTVOL,2026-08-16T15:00:00Z,,,,,,,,20.8454413175295
ETH-HISTVOL,2026-08-16T15:00:00Z,,,,,,,,28.23914997408118
SOL-HISTVOL,2026-08-16T15:00:00Z,,,,,,,,31.056225307395508
BTC-HISTVOL,2026-08-16T16:00:00Z,,,,,,,,20.84264267684594
ETH-HISTVOL,2026-08-16T16:00:00Z,,,,,,,,28.19843764733112
SOL-HISTVOL,2026-08-16T16:00:00Z,,,,,,,,31.059637730595306
BTC-HISTVOL,2026-08-16T17:00:00Z,,,,,,,,20.82366147042192
ETH-HISTVOL,2026-08-16T17:00:00Z,,,,,,,,28.16849665229639
SOL-HISTVOL,2026-08-16T17:00:00Z,,,,,,,,31.04161353020426
BTC-HISTVOL,2026-08-16T18:00:00Z,,,,,,,,20.83460851194676
ETH-HISTVOL,2026-08-16T18:00:00Z,,,,,,,,28.203243964888845
SOL-HISTVOL,2026-08-16T18:00:00Z,,,,,,,,31.034756088252163
BTC-HISTVOL,2026-08-16T19:00:00Z,,,,,,,,20.77852863013401
ETH-HISTVOL,2026-08-16T19:00:00Z,,,,,,,,28.16806230561748
SOL-HISTVOL,2026-08-16T19:00:00Z,,,,,,,,30.6345730059237
BTC-HISTVOL,2026-08-16T20:00:00Z,,,,,,,,20.753549903522
ETH-HISTVOL,2026-08-16T20:00:00Z,,,,,,,,27.357364205987327
SOL-HISTVOL,2026-08-16T20:00:00Z,,,,,,,,30.08682980394973
BTC-HISTVOL,2026-08-16T21:00:00Z,,,,,,,,20.75124222052702
ETH-HISTVOL,2026-08-16T21:00:00Z,,,,,,,,27.35746101755951
SOL-HISTVOL,2026-08-16T21:00:00Z,,,,,,,,30.06222814323969
BTC-HISTVOL,2026-08-16T22:00:00Z,,,,,,,,20.72764068423467
ETH-HISTVOL,2026-08-16T22:00:00Z,,,,,,,,27.37616213409942
SOL-HISTVOL,2026-08-16T22:00:00Z,,,,,,,,30.02547709832363
BTC-HISTVOL,2026-08-16T23:00:00Z,,,,,,,,20.720343228094297
ETH-HISTVOL,2026-08-16T23:00:00Z,,,,,,,,27.3561484526098
SOL-HISTVOL,2026-08-16T23:00:00Z,,,,,,,,30.294253853344827
BTC-HISTVOL,2026-08-17T00:00:00Z,,,,,,,,20.72045377965212
ETH-HISTVOL,2026-08-17T00:00:00Z,,,,,,,,27.352454088539893
