symbol,timestamp,funding_rate,funding_interval_hours
ETHUSDT,2020-01-16T00:00:00Z,0.00017165,8
BTCUSDT,2020-01-16T08:00:00Z,0.00041191,8
ETHUSDT,2020-01-16T08:00:00Z,0.00038406,8
BTCUSDT,2020-01-16T16:00:00Z,0.00031466,8
ETHUSDT,2020-01-16T16:00:00Z,0.0004224,8
BTCUSDT,2020-01-17T00:00:00Z,0.0001,8
ETHUSDT,2020-01-17T00:00:00Z,0.00018772,8
BTCUSDT,2020-01-17T08:00:00Z,0.00015027,8
ETHUSDT,2020-01-17T08:00:00Z,0.0001,8
BTCUSDT,2020-01-17T16:00:00Z,0.00056749,8
ETHUSDT,2020-01-17T16:00:00Z,0.00020327,8
BTCUSDT,2020-01-18T00:00:00Z,0.0001,8
ETHUSDT,2020-01-18T00:00:00Z,0.0001,8
BTCUSDT,2020-01-18T08:00:00Z,0.00029182,8
ETHUSDT,2020-01-18T08:00:00Z,0.0001,8
BTCUSDT,2020-01-18T16:00:00Z,0.00032081,8
ETHUSDT,2020-01-18T16:00:00Z,0.00011014,8
BTCUSDT,2020-01-19T00:00:00Z,0.00020041,8
ETHUSDT,2020-01-19T00:00:00Z,0.00044662,8
BTCUSDT,2020-01-19T08:00:00Z,0.00039329,8
ETHUSDT,2020-01-19T08:00:00Z,0.00019851,8
BTCUSDT,2020-01-19T16:00:00Z,0.00092467,8
ETHUSDT,2020-01-19T16:00:00Z,0.00023852,8
BTCUSDT,2020-01-20T00:00:00Z,0.00029702,8
ETHUSDT,2020-01-20T00:00:00Z,0.00047503,8
BTCUSDT,2020-01-20T08:00:00Z,0.0001,8
ETHUSDT,2020-01-20T08:00:00Z,0.00054081,8
BTCUSDT,2020-01-20T16:00:00Z,0.00010782,8
ETHUSDT,2020-01-20T16:00:00Z,0.00038562,8
BTCUSDT,2020-01-21T00:00:00Z,0.00012057,8
ETHUSDT,2020-01-21T00:00:00Z,0.00021637,8
BTCUSDT,2020-01-21T08:00:00Z,0.00015425,8
ETHUSDT,2020-01-21T08:00:00Z,0.00016823,8
BTCUSDT,2020-01-21T16:00:00Z,0.0001574,8
ETHUSDT,2020-01-21T16:00:00Z,0.00018627,8
