symbol,timestamp,observed_utc,openInterest,markPrice,indexPrice,fundingRate,fundingRatePrediction,bid,ask,bidSize,askSize,vol24h
PF_APEUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2354027.0,0.13691895335,0.13693,-4.048663281833e-06,-6.1636357895e-06,0.1369,0.137,387.0,2098.0,2647824.0
PF_API3USD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,79551.0,0.22327979701,0.22281,0.0001097354142482,7.6196538915e-05,0.2217,0.2238,16499.0,402.0,6698.0
PF_APTUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,761694.3,0.53381552823,0.53411,6.780908445833e-06,-7.543607363334e-06,0.5337,0.5343,275.4,90.0,266670.2
PF_ARBUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,15206264.0,0.11065878497,0.1106,3.285484122958e-06,7.044255793792e-06,0.11063,0.1107,4259.0,2258.0,56134671.0
PF_ARCUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,709935.0,0.06958151209,0.0696983,-1.273385374132e-06,1.435661089277e-06,0.06969,0.06998,2152.0,7321.0,277913.0
PF_ARKMUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,166290.0,0.10804512508,0.10824,-2.3152262899875e-05,-2.2113730111e-05,0.10804,0.10848,1485.0,14000.0,47174.0
PF_ARUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,18597.54,2.07949420626,2.08244,-0.0004881882041505,-0.0003893893252975,2.071,2.088,1634.4,1100.0,8010.31
PF_ASTERUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,231984.0,0.69937153976,0.69985,-6.8897608671791e-05,-8.0271712254167e-05,0.6985,0.6997,2382.0,1074.0,212609.0
PF_ASTRUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,7133108.0,0.00553067709,0.0055466,-1.51240916101e-06,-1.776725715089e-06,0.00551,0.005551,294011.0,280000.0,0.0
PF_ATHUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2617366.0,0.00482224744,0.0048247,-3.40452570182e-07,-3.9265962658e-07,0.004818,0.004838,10000.0,254366.0,3110832.0
PF_ATOMUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,1735633.6,1.47400865311,1.47395,8.757839847166e-06,2.915222023833e-06,1.473,1.475,2729.1,436.3,70662.0
PF_AUCTIONUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,7711.3,3.36562591452,3.3493,-0.0002663278591145,-0.0003094592789583,3.34,3.386,700.3,443.0,22864.3
PF_AVAXUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,323367.55,7.2529408392,7.2534,5.8710390419586e-05,-9.169009261248e-06,7.251,7.254,112.56,235.0,176144.1
PF_AXSUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,152809.1,0.90822313447,0.9081,-1.518609373e-05,-3.537030766666e-06,0.9077,0.9088,51.6,52.4,44649.4
