symbol,timestamp,funding_rate,realized_rate
SOL-USDT-SWAP,2026-06-01T00:00:00Z,0.0000774208700977,0.0000774208700977
BTC-USDT-SWAP,2026-06-01T08:00:00Z,0.0000236646806892,0.0000236646806892
ETH-USDT-SWAP,2026-06-01T08:00:00Z,0.0000961547649145,0.0000961547649145
SOL-USDT-SWAP,2026-06-01T08:00:00Z,0.0000359940809967,0.0000359940809967
BTC-USDT-SWAP,2026-06-01T16:00:00Z,0.0001,0.0001
ETH-USDT-SWAP,2026-06-01T16:00:00Z,0.0001,0.0001
SOL-USDT-SWAP,2026-06-01T16:00:00Z,0.0001,0.0001
BTC-USDT-SWAP,2026-06-02T00:00:00Z,0.0001,0.0001
ETH-USDT-SWAP,2026-06-02T00:00:00Z,0.0001,0.0001
SOL-USDT-SWAP,2026-06-02T00:00:00Z,0.0001,0.0001
BTC-USDT-SWAP,2026-06-02T08:00:00Z,0.0001,0.0001
ETH-USDT-SWAP,2026-06-02T08:00:00Z,0.0001,0.0001
SOL-USDT-SWAP,2026-06-02T08:00:00Z,0.0000340508864409,0.0000340508864409
BTC-USDT-SWAP,2026-06-02T16:00:00Z,0.0001,0.0001
ETH-USDT-SWAP,2026-06-02T16:00:00Z,0.0001,0.0001
SOL-USDT-SWAP,2026-06-02T16:00:00Z,0.0000197173234705,0.0000197173234705
BTC-USDT-SWAP,2026-06-03T00:00:00Z,0.0000865678874748,0.0000865678874748
ETH-USDT-SWAP,2026-06-03T00:00:00Z,0.0000519285792029,0.0000519285792029
SOL-USDT-SWAP,2026-06-03T00:00:00Z,-0.0001169560077223,-0.0001169560077223
BTC-USDT-SWAP,2026-06-03T08:00:00Z,0.0000278658186139,0.0000278658186139
ETH-USDT-SWAP,2026-06-03T08:00:00Z,0.0000373100333606,0.0000373100333606
SOL-USDT-SWAP,2026-06-03T08:00:00Z,-0.0000948630177986,-0.0000948630177986
BTC-USDT-SWAP,2026-06-03T16:00:00Z,0.0001,0.0001
ETH-USDT-SWAP,2026-06-03T16:00:00Z,0.0000977192263034,0.0000977192263034
SOL-USDT-SWAP,2026-06-03T16:00:00Z,-0.0000326048406447,-0.0000326048406447
BTC-USDT-SWAP,2026-06-04T00:00:00Z,0.0000987113820589,0.0000987113820589
ETH-USDT-SWAP,2026-06-04T00:00:00Z,0.0000733014954258,0.0000733014954258
SOL-USDT-SWAP,2026-06-04T00:00:00Z,0.0000234639082623,0.0000234639082623
BTC-USDT-SWAP,2026-06-04T08:00:00Z,0.0000209870467977,0.0000209870467977
ETH-USDT-SWAP,2026-06-04T08:00:00Z,0.0000524178493983,0.0000524178493983
SOL-USDT-SWAP,2026-06-04T08:00:00Z,-0.0001008454316779,-0.0001008454316779
BTC-USDT-SWAP,2026-06-04T16:00:00Z,0.0000015995235891,0.0000015995235891
ETH-USDT-SWAP,2026-06-04T16:00:00Z,0.0000441941632716,0.0000441941632716
SOL-USDT-SWAP,2026-06-04T16:00:00Z,-0.0000352194113847,-0.0000352194113847
