symbol,timestamp,funding_rate,relative_funding_rate
PF_ETHUSD,2025-08-27T08:00:00Z,0.08971786230555606,1.9590763888889e-05
PF_SOLUSD,2025-08-27T08:00:00Z,0.004729572318918149,2.3367209722222e-05
PF_XBTUSD,2025-08-27T08:00:00Z,1.9684146240958702,1.7775416666667e-05
PF_ETHUSD,2025-08-27T09:00:00Z,0.0800027426115576,1.7413705555556e-05
PF_SOLUSD,2025-08-27T09:00:00Z,0.003720953469697733,1.8288522222222e-05
PF_XBTUSD,2025-08-27T09:00:00Z,2.0568406484518857,1.8571352777778e-05
PF_ETHUSD,2025-08-27T10:00:00Z,0.06789107976146037,1.4795243055556e-05
PF_SOLUSD,2025-08-27T10:00:00Z,0.003892048718130068,1.9086641666667e-05
PF_XBTUSD,2025-08-27T10:00:00Z,2.109412665364373,1.9034251388889e-05
PF_ETHUSD,2025-08-27T11:00:00Z,0.05588463881000204,1.2197305555556e-05
PF_SOLUSD,2025-08-27T11:00:00Z,0.00290852911495875,1.42474875e-05
PF_XBTUSD,2025-08-27T11:00:00Z,2.0805508209875,1.87439375e-05
PF_ETHUSD,2025-08-27T12:00:00Z,0.04913226780977829,1.0661088888889e-05
PF_SOLUSD,2025-08-27T12:00:00Z,0.00264641522414926,1.2905659722222e-05
PF_XBTUSD,2025-08-27T12:00:00Z,2.1531792124234537,1.9343241666667e-05
PF_ETHUSD,2025-08-27T13:00:00Z,0.05381765336165175,1.1658709722222e-05
PF_SOLUSD,2025-08-27T13:00:00Z,0.002662099554905068,1.3009179166667e-05
PF_XBTUSD,2025-08-27T13:00:00Z,1.8506014432262128,1.6618658333333e-05
PF_ETHUSD,2025-08-27T14:00:00Z,0.05053813743540482,1.0996568055556e-05
PF_SOLUSD,2025-08-27T14:00:00Z,0.003321459830509515,1.6241245833333e-05
PF_XBTUSD,2025-08-27T14:00:00Z,1.9051810424728641,1.7082584722222e-05
PF_ETHUSD,2025-08-27T15:00:00Z,0.0226667193015,4.912575e-06
PF_SOLUSD,2025-08-27T15:00:00Z,0.004046618493943982,1.9578684722222e-05
PF_XBTUSD,2025-08-27T15:00:00Z,1.7035723484974197,1.5236647222222e-05
PF_ETHUSD,2025-08-27T16:00:00Z,0.050000327181875,1.07316875e-05
PF_SOLUSD,2025-08-27T16:00:00Z,0.000905193273576551,4.336876388889e-06
PF_XBTUSD,2025-08-27T16:00:00Z,2.085291467239117,1.8612194444444e-05
PF_ETHUSD,2025-08-27T17:00:00Z,0.050516643367168726,1.0906505555556e-05
PF_SOLUSD,2025-08-27T17:00:00Z,0.00024100418225625,1.1589375e-06
PF_XBTUSD,2025-08-27T17:00:00Z,1.6620313769215875,1.4820670833333e-05
PF_ETHUSD,2025-08-27T18:00:00Z,0.079615416771,1.7188575e-05
PF_SOLUSD,2025-08-27T18:00:00Z,0.001559359085032129,7.454456944444e-06
PF_XBTUSD,2025-08-27T18:00:00Z,1.9815869716043946,1.7636806944444e-05
PF_ETHUSD,2025-08-27T19:00:00Z,0.06957832136994241,1.5153294444444e-05
PF_SOLUSD,2025-08-27T19:00:00Z,0.000635040685461157,3.047840277778e-06
PF_XBTUSD,2025-08-27T19:00:00Z,2.0939454217708042,1.8700601388889e-05
PF_ETHUSD,2025-08-27T20:00:00Z,0.05105732110533181,1.1180133333333e-05
PF_SOLUSD,2025-08-27T20:00:00Z,0.000459888112833265,2.228333333333e-06
PF_XBTUSD,2025-08-27T20:00:00Z,2.315826229622713,2.0661658333333e-05
PF_ETHUSD,2025-08-27T21:00:00Z,0.06464264387194546,1.4072940277778e-05
PF_SOLUSD,2025-08-27T21:00:00Z,-0.0019474004069575,-9.339275e-06
