id,rule,base,context,ticker,n_events,n,win_pct,stop_pct,net_all,net_counted,ex_best,folds_pos,folds_counted,total_R,maxDD_R,worst_streak
124,nr4+btc_above_sma200,nr4,btc_above_sma200,BTC,89,92,28.26086956521739,68.47826086956522,-0.14219565217391306,,,1,2,-13.081999999999997,15.050999999999997,9
125,nr4+lowvol,nr4,lowvol,BTC,130,147,26.53061224489796,73.46938775510205,-0.2461224489795918,-0.24612244897959185,-0.24801562500000002,0,4,-36.180000000000014,39.81300000000001,17
126,bbw_p10_expand+none,bbw_p10_expand,none,BTC,34,35,45.714285714285715,54.285714285714285,0.32654285714285713,,,1,1,11.429000000000004,4.135,4
127,bbw_p10_expand+above_sma200,bbw_p10_expand,above_sma200,BTC,13,13,38.46153846153847,61.53846153846154,0.11815384615384618,,,0,0,1.5360000000000003,6.254,6
128,bbw_p10_expand+btc_above_sma200,bbw_p10_expand,btc_above_sma200,BTC,13,13,38.46153846153847,61.53846153846154,0.11815384615384618,,,0,0,1.5360000000000003,6.254,6
129,bbw_p10_expand+lowvol,bbw_p10_expand,lowvol,BTC,29,30,46.666666666666664,53.333333333333336,0.3540000000000001,,,0,0,10.620000000000003,4.1049999999999995,4
130,bbw_p20_expand+none,bbw_p20_expand,none,BTC,61,69,39.130434782608695,60.86956521739131,0.13223188405797104,0.13223188405797107,-0.042645833333333306,2,4,9.123999999999999,8.677999999999997,8
131,bbw_p20_expand+above_sma200,bbw_p20_expand,above_sma200,BTC,26,31,29.03225806451613,70.96774193548387,-0.16787096774193544,,,0,2,-5.203999999999999,11.104999999999999,7
132,bbw_p20_expand+btc_above_sma200,bbw_p20_expand,btc_above_sma200,BTC,26,31,29.03225806451613,70.96774193548387,-0.16787096774193544,,,0,2,-5.203999999999999,11.104999999999999,7
133,bbw_p20_expand+lowvol,bbw_p20_expand,lowvol,BTC,46,52,38.46153846153847,61.53846153846154,0.11134615384615383,0.11134615384615386,-0.04338095238095232,2,4,5.7900000000000045,8.668999999999999,8
134,volbreak1+none,volbreak1,none,BTC,72,73,35.61643835616438,61.64383561643836,0.07027397260273974,0.07027397260273974,-0.1760943396226415,1,4,5.130000000000001,19.073,8
135,volbreak1+above_sma200,volbreak1,above_sma200,BTC,28,29,37.93103448275862,55.172413793103445,0.18141379310344832,,,1,1,5.2609999999999975,6.149,7
136,volbreak1+btc_above_sma200,volbreak1,btc_above_sma200,BTC,28,29,37.93103448275862,55.172413793103445,0.18141379310344832,,,1,1,5.2609999999999975,6.149,7
137,volbreak1+lowvol,volbreak1,lowvol,BTC,25,25,16.0,84.0,-0.5501199999999999,,,0,0,-13.752999999999997,13.537999999999997,11
138,volbreak1.5+none,volbreak1.5,none,BTC,29,29,48.275862068965516,44.827586206896555,0.4935862068965519,,,1,1,14.314000000000005,3.2039999999999997,3
139,volbreak1.5+above_sma200,volbreak1.5,above_sma200,BTC,15,15,53.333333333333336,33.33333333333333,0.7113333333333335,,,1,1,10.670000000000002,3.062999999999999,2
140,volbreak1.5+btc_above_sma200,volbreak1.5,btc_above_sma200,BTC,15,15,53.333333333333336,33.33333333333333,0.7113333333333335,,,1,1,10.670000000000002,3.062999999999999,2
141,volbreak1.5+lowvol,volbreak1.5,lowvol,BTC,6,6,33.33333333333333,66.66666666666666,-0.039499999999999945,,,0,0,-0.23699999999999966,2.0839999999999996,2
142,wide_range_up+none,wide_range_up,none,BTC,22,23,43.47826086956522,52.17391304347826,0.32299999999999995,,,0,0,7.428999999999999,6.103,6
143,wide_range_up+above_sma200,wide_range_up,above_sma200,BTC,11,11,54.54545454545454,36.36363636363637,0.7014545454545454,,,0,0,7.716,2.077,2
144,wide_range_up+btc_above_sma200,wide_range_up,btc_above_sma200,BTC,11,11,54.54545454545454,36.36363636363637,0.7014545454545454,,,0,0,7.716,2.077,2
145,wide_range_up+lowvol,wide_range_up,lowvol,BTC,7,7,14.285714285714285,85.71428571428571,-0.6020000000000001,,,0,0,-4.214,4.117,5
146,three_inside_up+none,three_inside_up,none,BTC,1,1,100.0,0.0,1.91,,,0,0,1.91,0.0,0
147,three_inside_up+above_sma200,three_inside_up,above_sma200,BTC,1,1,100.0,0.0,1.91,,,0,0,1.91,0.0,0
148,three_inside_up+btc_above_sma200,three_inside_up,btc_above_sma200,BTC,1,1,100.0,0.0,1.91,,,0,0,1.91,0.0,0
149,three_inside_up+lowvol,three_inside_up,lowvol,BTC,1,1,100.0,0.0,1.91,,,0,0,1.91,0.0,0
150,vol_thrust+none,vol_thrust,none,BTC,34,35,34.285714285714285,65.71428571428571,0.003314285714285736,,,1,2,0.11600000000000255,12.485,10
151,vol_thrust+above_sma200,vol_thrust,above_sma200,BTC,12,12,41.66666666666667,58.333333333333336,0.2214166666666667,,,0,0,2.6570000000000005,3.1199999999999997,3
152,vol_thrust+btc_above_sma200,vol_thrust,btc_above_sma200,BTC,12,12,41.66666666666667,58.333333333333336,0.2214166666666667,,,0,0,2.6570000000000005,3.1199999999999997,3
153,vol_thrust+lowvol,vol_thrust,lowvol,BTC,13,14,28.57142857142857,71.42857142857143,-0.17192857142857143,,,0,0,-2.407,4.081,5
154,obv_break20+none,obv_break20,none,BTC,99,109,32.11009174311927,66.97247706422019,-0.057458715596330256,-0.057458715596330236,-0.1144383561643835,2,4,-6.2629999999999955,14.637999999999998,7
155,obv_break20+above_sma200,obv_break20,above_sma200,BTC,32,40,32.5,65.0,-0.034100000000000005,,,1,2,-1.3640000000000012,9.663,5
156,obv_break20+btc_above_sma200,obv_break20,btc_above_sma200,BTC,32,40,32.5,65.0,-0.034100000000000005,,,1,2,-1.3640000000000012,9.663,5
157,obv_break20+lowvol,obv_break20,lowvol,BTC,34,40,25.0,75.0,-0.2844999999999999,-0.2634857142857143,-0.4035,1,3,-11.38,11.744,6
158,weekly_cross10w+none,weekly_cross10w,none,BTC,10,10,30.0,60.0,-0.005400000000000025,,,0,0,-0.05400000000000002,5.17,5
159,weekly_cross10w+above_sma200,weekly_cross10w,above_sma200,BTC,5,5,20.0,60.0,-0.17719999999999997,,,0,0,-0.8859999999999999,2.053,2
160,weekly_cross10w+btc_above_sma200,weekly_cross10w,btc_above_sma200,BTC,5,5,20.0,60.0,-0.17719999999999997,,,0,0,-0.8859999999999999,2.053,2
161,weekly_cross10w+lowvol,weekly_cross10w,lowvol,BTC,5,5,20.0,80.0,-0.4315999999999999,,,0,0,-2.1579999999999995,3.1159999999999997,3
