ticker,row,n_event_days,n,win_pct,net_all,ex_best,placebo_mean,placebo_p95,pctile,degenerate
BTC,INC_STRONG_BUY,11,8,100.0,2.621875,,-0.1768062249417249,0.6268318181818182,100.0,False
BTC,INC_BUY_ALL,113,58,39.6551724137931,0.23668965517241383,0.20686956521739142,-0.17453987648164163,0.013380784352925631,100.0,False
BTC,ALWAYS_LONG,692,689,29.027576197387518,-0.1484818577648766,-0.18164990328820113,,,,True
ETH,INC_STRONG_BUY,7,3,33.33333333333333,0.16700000000000004,,-0.13393376322751321,0.8242964285714312,75.0,False
ETH,INC_BUY_ALL,119,59,28.8135593220339,-0.17469491525423722,-0.39546428571428566,-0.17005774214696293,0.03057068376068382,47.66666666666667,False
ETH,ALWAYS_LONG,692,689,29.027576197387518,-0.15862264150943392,-0.18412765957446806,,,,True
SOL,INC_STRONG_BUY,4,1,100.0,2.644,,-0.10316122222222222,0.9118875000000007,99.66666666666667,False
SOL,INC_BUY_ALL,114,59,27.11864406779661,-0.20142372881355927,-0.4384166666666667,-0.09814989128699567,0.0988738276990186,21.0,False
SOL,ALWAYS_LONG,692,689,31.204644412191584,-0.07759506531204642,-0.10250581395348835,,,,True
