n_events,seed,BTC_net,BTC_ex,BTC_n,ETH_net,ETH_ex,ETH_n,SOL_net,SOL_ex,SOL_n
10,0,-0.4299999999999999,,10,0.7761000000000001,,10,-0.4141,,10
10,1,0.038999999999999965,,10,-0.13569999999999988,,10,0.47829999999999995,,10
10,2,0.7562000000000001,,10,0.7656000000000001,,10,0.7768,,10
10,3,-0.4293999999999999,,10,0.47830000000000006,,10,0.48040000000000005,,10
10,4,-0.4412,,10,-0.43299999999999994,,10,-0.1204,,10
10,5,0.7738000000000002,,10,0.178,,10,0.18280000000000002,,10
10,6,-0.7316,,10,-0.7263,,10,-0.4152999999999999,,10
10,7,0.4774,,10,0.1809,,10,-0.4135,,10
10,8,-0.12539999999999993,,10,0.1818,,10,0.4837000000000001,,10
10,9,-0.1334,,10,0.17239999999999994,,10,-0.11269999999999995,,10
10,10,0.058636363636363716,,11,0.33999999999999997,,11,0.07400000000000002,,11
10,11,0.7607,,10,0.46930000000000005,,10,0.4828000000000001,,10
10,12,-1.0339,,10,-0.7283,,10,-0.7180000000000001,,10
10,13,-0.01799999999999995,,10,0.1781000000000001,,10,0.4861,,10
10,14,-0.13949999999999996,,10,0.47050000000000003,,10,0.1859,,10
10,15,-0.4300999999999999,,10,-0.7232000000000001,,10,-0.7167,,10
10,16,-0.01620000000000001,,10,-0.1293999999999999,,10,0.07229999999999996,,10
10,17,0.16940000000000002,,10,-0.4243,,10,0.17109999999999997,,10
10,18,0.16069999999999998,,10,-0.1371,,10,-0.4185,,10
10,19,-0.32850000000000007,,10,0.17230000000000004,,10,-0.11739999999999999,,10
10,20,-0.42699999999999994,,10,-0.7232,,10,-0.11719999999999997,,10
10,21,0.1688,,10,0.47620000000000007,,10,0.18520000000000003,,10
10,22,-0.44719999999999993,,10,0.16400000000000006,,10,0.47309999999999997,,10
10,23,-0.42589999999999995,,10,0.47960000000000014,,10,0.18550000000000005,,10
10,24,0.33536363636363636,,11,0.07081818181818185,,11,0.6240909090909091,,11
10,25,0.17070000000000002,,10,-0.42219999999999996,,10,-0.11439999999999997,,10
10,26,-0.4282,,10,-0.4212999999999999,,10,-0.3165,,10
10,27,0.7670999999999999,,10,0.4766000000000001,,10,-0.009099999999999952,,10
10,28,0.16750000000000004,,10,-0.12739999999999999,,10,0.18740000000000007,,10
10,29,-0.13969999999999996,,10,-0.131,,10,-0.11859999999999997,,10
10,30,-0.13269999999999998,,10,0.475,,10,-0.13399999999999995,,10
10,31,0.16870000000000002,,10,-0.4239,,10,0.48599999999999993,,10
10,32,-0.7396,,10,0.16309999999999997,,10,0.18069999999999994,,10
10,33,-0.13459999999999994,,10,-0.1272999999999999,,10,-0.12399999999999993,,10
10,34,-0.4326,,10,-1.0269,,10,-0.11779999999999997,,10
10,35,-0.4343,,10,-0.42729999999999996,,10,-0.4175,,10
10,36,-0.42799999999999994,,10,0.17880000000000001,,10,-0.2273999999999999,,10
10,37,0.16259999999999997,,10,0.7702000000000001,,10,0.7719000000000001,,10
10,38,1.1944000000000001,,10,0.7759,,10,1.0858999999999999,,10
10,39,0.7681000000000001,,10,0.4726000000000001,,10,-0.11929999999999996,,10
10,40,-0.12919999999999995,,10,-0.1244999999999999,,10,-0.41819999999999985,,10
10,41,0.4598,,10,0.47020000000000006,,10,0.4765,,10
10,42,0.7661,,10,-0.42989999999999995,,10,0.7821,,10
10,43,-0.7318,,10,-0.7253999999999999,,10,-0.7154999999999999,,10
10,44,-0.2821,,10,-0.12849999999999995,,10,-0.11669999999999998,,10
10,45,0.7660000000000001,,10,0.4724000000000001,,10,0.5734,,10
10,46,0.76,,10,0.7699,,10,0.4913,,10
10,47,-0.4298,,10,-0.1242,,10,-0.11579999999999997,,10
10,48,-0.0413,,10,-0.4241,,10,-0.4129999999999999,,10
10,49,0.4598000000000001,,10,0.1654,,10,-0.7182999999999999,,10
10,50,0.4640000000000001,,10,0.1711,,10,-0.4183,,10
10,51,0.6027272727272728,,11,0.06636363636363635,,11,0.07190909090909094,,11
10,52,0.17009999999999997,,10,0.4780000000000001,,10,0.4885,,10
10,53,-0.21609090909090908,,11,0.8806363636363638,,11,0.6084545454545455,,11
10,54,-0.7357999999999999,,10,-0.7295,,10,-0.4193999999999999,,10
10,55,0.4781000000000001,,10,-0.11790000000000003,,10,-0.1123999999999999,,10
10,56,-0.008200000000000074,,10,0.4702,,10,0.18460000000000001,,10
10,57,-0.7397,,10,0.4675000000000001,,10,0.47830000000000006,,10
10,58,0.16469999999999996,,10,-0.1300999999999999,,10,0.18150000000000005,,10
10,59,-0.13739999999999997,,10,0.1699,,10,0.18440000000000006,,10
10,60,-0.758909090909091,,11,-0.4798181818181817,,11,-0.1948181818181818,,11
10,61,0.16320000000000004,,10,0.5374,,10,0.19670000000000007,,10
10,62,-0.13809999999999995,,10,-0.43389999999999995,,10,0.17710000000000004,,10
10,63,0.4681,,10,0.7774000000000001,,10,0.37329999999999985,,10
10,64,-0.15009999999999998,,10,0.1619,,10,-0.12029999999999996,,10
10,65,-0.43200000000000005,,10,0.17389999999999997,,10,-0.11309999999999998,,10
10,66,-0.3498,,10,-0.4236,,10,-0.39030000000000004,,10
10,67,0.4654000000000001,,10,0.1688,,10,0.18799999999999997,,10
10,68,0.8590909090909092,,11,0.8685454545454546,,11,1.1513636363636364,,11
10,69,-0.14289999999999997,,10,-0.4342,,10,0.18550000000000005,,10
10,70,0.7625,,10,0.17060000000000003,,10,-0.11709999999999995,,10
10,71,0.16560000000000002,,10,0.47509999999999997,,10,0.7858,,10
10,72,-0.4383000000000001,,10,-0.43100000000000005,,10,0.16710000000000005,,10
10,73,-0.14569999999999997,,10,-0.1419999999999999,,10,-0.4311,,10
10,74,-0.4351,,10,-0.7276,,10,-0.11719999999999994,,10
10,75,0.16989999999999997,,10,-0.12340000000000002,,10,0.18359999999999999,,10
10,76,0.4525,,10,0.16640000000000005,,10,-0.12689999999999996,,10
10,77,-0.4264,,10,0.17910000000000004,,10,0.18490000000000006,,10
10,78,-0.43500000000000005,,10,-0.7263999999999997,,10,-0.7182000000000001,,10
10,79,-0.14229999999999995,,10,-0.13560000000000005,,10,0.4781000000000001,,10
10,80,-0.13379999999999992,,10,-0.42639999999999995,,10,0.18870000000000003,,10
10,81,-0.13890000000000002,,10,0.16610000000000003,,10,0.7851000000000001,,10
10,82,-0.7215999999999999,,10,-0.4177999999999999,,10,-0.11329999999999993,,10
10,83,0.9649000000000001,,10,0.17100000000000007,,10,0.48739999999999994,,10
10,84,-0.4243,,10,0.1814,,10,-0.7104999999999999,,10
10,85,0.16290000000000002,,10,-0.12769999999999998,,10,-0.12069999999999996,,10
10,86,0.16019999999999995,,10,0.4664,,10,0.1831,,10
10,87,-0.4367,,10,-0.12719999999999998,,10,0.18690000000000007,,10
10,88,0.4659,,10,0.475,,10,0.16290000000000002,,10
10,89,-0.13079999999999994,,10,-0.12459999999999997,,10,0.4492000000000001,,10
10,90,0.17300000000000001,,10,0.17840000000000006,,10,-0.11319999999999997,,10
10,91,1.0650000000000002,,10,1.07,,10,0.4788999999999999,,10
10,92,-0.2235454545454546,,11,-0.21590909090909083,,11,-0.3019090909090909,,11
10,93,0.15479999999999994,,10,0.1638,,10,0.7832,,10
10,94,-0.13140000000000004,,10,-0.4257999999999999,,10,-0.43450000000000005,,10
10,95,-0.15649999999999994,,10,0.17910000000000004,,10,0.17200000000000004,,10
10,96,-0.7411000000000001,,10,-0.4333,,10,-0.4192,,10
10,97,-0.13210000000000002,,10,-0.7253,,10,-0.11889999999999992,,10
10,98,-0.4347,,10,-0.43079999999999996,,10,0.18060000000000004,,10
10,99,0.17279999999999998,,10,0.4769,,10,0.10100000000000009,,10
10,100,-0.43579999999999997,,10,-0.4304,,10,-0.1205999999999999,,10
10,101,-0.4303,,10,-0.42519999999999997,,10,-0.11559999999999988,,10
10,102,-0.4351,,10,-0.7292,,10,0.17960000000000004,,10
10,103,0.4624,,10,-0.13279999999999995,,10,0.48150000000000015,,10
10,104,-0.1313999999999999,,10,-0.7274,,10,-0.11399999999999995,,10
10,105,0.7700999999999999,,10,0.4751,,10,0.4692,,10
10,106,-0.13030000000000003,,10,-0.4250999999999999,,10,-0.11579999999999997,,10
10,107,0.17330000000000004,,10,-0.12320000000000005,,10,-0.11619999999999989,,10
10,108,-0.11690909090909081,,11,0.07409090909090915,,11,0.08027272727272732,,11
10,109,-0.43620000000000003,,10,-0.7314999999999999,,10,-0.11469999999999989,,10
10,110,0.1647,,10,0.0516,,10,-0.11399999999999996,,10
10,111,0.4772,,10,0.1817000000000001,,10,0.6192000000000001,,10
10,112,-0.13259999999999994,,10,-0.42519999999999997,,10,-0.012300000000000023,,10
10,113,1.0657,,10,0.17420000000000008,,10,0.4873000000000001,,10
10,114,-0.13930000000000003,,10,-0.13119999999999996,,10,-0.11809999999999998,,10
10,115,-0.7561,,10,-0.7476,,10,-0.42069999999999996,,10
10,116,-0.4276,,10,-0.4248,,10,-0.1187,,10
10,117,0.7697,,10,0.7765000000000001,,10,0.8036,,10
